,Grag2021_progan,Grag2021_latent
progan_lsun,0.994,0.043
stylegan2_ffhq_256x256,0.7485029940119761,0.17964071856287425
stylegan2_lsundog_256x256,0.7065868263473054,0.011976047904191617
stylegan2_afhqv2_512x512,0.5195195195195195,0.04504504504504504
stylegan2_ffhq_1024x1024,0.5495495495495496,0.015015015015015015
stylegan3_r_ffhqu_256x256,0.2634730538922156,0.19161676646706588
stylegan3_t_ffhqu_256x256,0.5508982035928144,0.17964071856287425
stylegan3_r_afhqv2_512x512,0.060240963855421686,0.0
stylegan3_r_ffhqu_1024x1024,0.23952095808383234,0.03592814371257485
stylegan3_t_afhqv2_512x512,0.2469879518072289,0.024096385542168676
stylegan3_t_ffhqu_1024x1024,0.16167664670658682,0.017964071856287425
biggan_256,0.722,0.054
biggan_512,0.87,0.054
eg3d,0.471,0.083
taming-transformers_class2image_ImageNet,0.184,0.374
taming-transformers_noise2image_FFHQ,0.064,0.636
taming-transformers_segm2image_valid,0.16,0.236
dalle-mini_valid,0.267,0.474
dalle_2,0.009,0.018
glide_text2img_valid,0.053,0.196
latent-diffusion_class2image_ImageNet,0.089,0.818
latent-diffusion_noise2image_FFHQ,0.016,0.826
latent-diffusion_noise2image_LSUNbedrooms,0.036,0.828
latent-diffusion_noise2image_LSUNchurches,0.056,0.964
latent-diffusion_text2img_valid,0.123,0.892
stable_diffusion_256,0.236,0.908
stable_diffusion_512_50steps,0.051,0.7965
stable_diffusion_512_100steps,0.059,0.7895
stable_diffusion_512_200steps,0.059,0.801
guided-diffusion_class2image_ImageNet,0.019,0.094
guided-diffusion_noise2image_LSUNbedrooms,0.01,0.2125
guided-diffusion_noise2image_LSUNcats,0.0,0.0
guided-diffusion_noise2image_LSUNhorses,0.0,0.0
real_coco_valid,0.9972,0.997
real_imagenet_val,1.0,1.0
real_ucid,1.0,1.0
ffhq,1.0,0.959
celebA,0.903,0.4393
stargan,0.832416208104052,0.5802901450725363
gaugan,0.8358,0.1008
whichfaceisreal,0.349,0.983
deepfake,0.03817642698295033,0.6434395848776872
