,Acc.
latent-diffusion_noise2image_FFHQ.pt,0.34
stylegan3_t_afhqv2_512x512.pt,0.38
stylegan2_ffhq_1024x1024.pt,0.40
celebA.pt,0.85
latent-diffusion_text2img_valid.pt,0.45
stylegan3_r_ffhqu_256x256.pt,0.65
whichfaceisreal.pt,0.46
stylegan3_t_ffhqu_1024x1024.pt,0.44
real_coco_valid.pt,0.93
stylegan3_r_afhqv2_512x512.pt,0.41
guided-diffusion_class2image_ImageNet.pt,0.47
stargan.pt,0.89
stylegan2_lsundog_256x256.pt,0.80
guided-diffusion_noise2image_LSUNcats.pt,0.06
dalle_2.pt,0.32
ffhq.pt,0.92
real_imagenet_val.pt,0.88
latent-diffusion_noise2image_LSUNbedrooms.pt,0.34
stylegan2_afhqv2_512x512.pt,0.52
stylegan3_t_ffhqu_256x256.pt,0.79
eg3d.pt,0.42
latent-diffusion_class2image_ImageNet.pt,0.39
stylegan2_ffhq_256x256.pt,0.59
deepfake.pt,0.93
gaugan.pt,0.95
stable_diffusion_512_50steps.pt,0.42
latent-diffusion_noise2image_LSUNchurches.pt,0.22
stable_diffusion_512_200steps.pt,0.39
biggan_512.pt,0.75
taming-transformers_class2image_ImageNet.pt,0.80
dalle-mini_valid.pt,0.57
stable_diffusion_512_100steps.pt,0.42
guided-diffusion_noise2image_LSUNbedrooms.pt,0.23
taming-transformers_segm2image_valid.pt,0.90
biggan_256.pt,0.82
guided-diffusion_noise2image_LSUNhorses.pt,0.20
real_ucid.pt,0.82
crn.pt,0.45
stable_diffusion_256.pt,0.93
glide_text2img_valid.pt,0.77
stylegan3_r_ffhqu_1024x1024.pt,0.41
progan_lsun.pt,1.00
taming-transformers_noise2image_FFHQ.pt,0.65
Real,
Fake,
Total,
