,Acc.
dalle-mini_valid.pt,0.65
whichfaceisreal.pt,0.33
guided-diffusion_noise2image_LSUNhorses.pt,0.15
stylegan3_r_ffhqu_256x256.pt,0.38
stylegan2_ffhq_1024x1024.pt,0.17
real_coco_valid.pt,0.96
gaugan.pt,0.98
real_ucid.pt,0.87
latent-diffusion_noise2image_LSUNbedrooms.pt,0.12
stylegan2_afhqv2_512x512.pt,0.30
deepfake.pt,0.71
stable_diffusion_512_200steps.pt,0.30
celebA.pt,0.99
stylegan2_lsundog_256x256.pt,0.83
eg3d.pt,0.14
stable_diffusion_512_100steps.pt,0.30
stylegan3_t_ffhqu_256x256.pt,0.38
ffhq.pt,1.00
taming-transformers_class2image_ImageNet.pt,0.78
latent-diffusion_noise2image_LSUNchurches.pt,0.21
stylegan3_r_ffhqu_1024x1024.pt,0.08
latent-diffusion_text2img_valid.pt,0.45
biggan_512.pt,0.80
latent-diffusion_noise2image_FFHQ.pt,0.04
taming-transformers_noise2image_FFHQ.pt,0.39
guided-diffusion_class2image_ImageNet.pt,0.36
stylegan3_t_ffhqu_1024x1024.pt,0.13
biggan_256.pt,0.85
guided-diffusion_noise2image_LSUNbedrooms.pt,0.04
taming-transformers_segm2image_valid.pt,0.85
stargan.pt,0.99
progan_lsun.pt,1.00
dalle_2.pt,0.17
guided-diffusion_noise2image_LSUNcats.pt,0.08
stylegan3_r_afhqv2_512x512.pt,0.06
glide_text2img_valid.pt,0.48
real_imagenet_val.pt,0.91
stylegan3_t_afhqv2_512x512.pt,0.04
latent-diffusion_class2image_ImageNet.pt,0.39
stylegan2_ffhq_256x256.pt,0.57
crn.pt,0.33
stable_diffusion_256.pt,0.90
stable_diffusion_512_50steps.pt,0.31
Real,
Fake,
Total,
